-BUTYL-BUTYRYL-LACTATE,Non disponible,Non disponible,No table found
ATAPHILLININE,Antimalarial,50 mg/kg (ipr mus),"Nigg, H.N. and Seigler, D.S., eds. 1992. Phytochemical Resources for Medicine and Agriculture. Plenum Press, New York. 445 pp."
ATAPHILLININE,Antiplasmodial,not available,"Duke, 1992 *"
ATAPHILLININE,Pesticide,not available,"Duke, 1992 *"
ATHAMANTHIN,Antispasmodic,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
ATHAMANTHIN,Vasodilator,not available,"Duke, 1992 *"
ATHEROSPERMIDINE,Myorelaxant,not available,"Duke, 1992 *"
ATHEROSPERMINE,Sedative,not available,"Grenand, P., Moretti, C., and Jacquemin, H. 1987. Pharmacopees Traditionnelles en Guyane.  l'ORSTROM, Paris. 569 pp."
ATHONIN,Antibacterial,not available,"Duke, 1992 *"
ATHONIN,Anticholeretic,not available,"Duke, 1992 *"
ATHONIN,Antiseptic,not available,"Duke, 1992 *"
ATHONIN,Hypotensive,not available,"Duke, 1992 *"
ATHONIN,Pesticide,not available,"Duke, 1992 *"
ATHYRIOL,Xanthine-Oxidase-Inhibitor,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
ATISINE,Antipyretic,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
ATISINE,Cardioactive,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
ATISINE,Hypotensive,not available,Wealth of India.
ATOMARIC-ACID,Antibacterial,not available,"Duke, 1992 *"
ATOMARIC-ACID,Pesticide,not available,"Duke, 1992 *"
ATOMARIC-ACID,Tyrosine-Kinase-Inhibitor,not available,"Duke, 1992 *"
ATRACTAN-A,Hypoglycemic,not available,"Leung, A. Y. and Foster, S. 1995. Encyclopedia of Common Natural Ingredients 2nd Ed. John Wiley & Sons, New York. 649 pp."
ATRACTAN-B,Hypoglycemic,not available,"Leung, A. Y. and Foster, S. 1995. Encyclopedia of Common Natural Ingredients 2nd Ed. John Wiley & Sons, New York. 649 pp."
ATRACTAN-C,Hypoglycemic,not available,"Leung, A. Y. and Foster, S. 1995. Encyclopedia of Common Natural Ingredients 2nd Ed. John Wiley & Sons, New York. 649 pp."
ATRACTYLENOLIDE,Antiinflammatory,not available,"Duke, 1992 *"
ATRACTYLENOLIDE,Hepatoprotective,not available,"Blaschek, W., Hansel, R., Keller, K., Reichling, J., Rimpler, H., and Schneider, G. eds. 1998. Hager's Handbuch der Pharmazeutischen Praxis, Auflage Band 2 (A-K), 909 pp., (L-Z), 858 pp. Springer-Verlag, Berlin."
ATRACTYLENOLIDE-I,Analgesic,78 mk/kg orl mus,"Blaschek, W., Hansel, R., Keller, K., Reichling, J., Rimpler, H., and Schneider, G. eds. 1998. Hager's Handbuch der Pharmazeutischen Praxis, Auflage Band 2 (A-K), 909 pp., (L-Z), 858 pp. Springer-Verlag, Berlin."
ATRACTYLENOLIDE-I,Antibacterial,not available,"Blaschek, W., Hansel, R., Keller, K., Reichling, J., Rimpler, H., and Schneider, G. eds. 1998. Hager's Handbuch der Pharmazeutischen Praxis, Auflage Band 2 (A-K), 909 pp., (L-Z), 858 pp. Springer-Verlag, Berlin."
ATRACTYLENOLIDE-I,Anticholinergic,not available,"Duke, 1992 *"
ATRACTYLENOLIDE-I,Antiinflammatory,100 mg/kg,"Blaschek, W., Hansel, R., Keller, K., Reichling, J., Rimpler, H., and Schneider, G. eds. 1998. Hager's Handbuch der Pharmazeutischen Praxis, Auflage Band 2 (A-K), 909 pp., (L-Z), 858 pp. Springer-Verlag, Berlin."
ATRACTYLENOLIDE-I,Uterorelaxant,not available,"Duke, 1992 *"
ATRACTYLENOLIDE-II,Analgesic,78 mg/kg orl mus,"Blaschek, W., Hansel, R., Keller, K., Reichling, J., Rimpler, H., and Schneider, G. eds. 1998. Hager's Handbuch der Pharmazeutischen Praxis, Auflage Band 2 (A-K), 909 pp., (L-Z), 858 pp. Springer-Verlag, Berlin."
ATRACTYLENOLIDE-II,Antibacterial,not available,"Blaschek, W., Hansel, R., Keller, K., Reichling, J., Rimpler, H., and Schneider, G. eds. 1998. Hager's Handbuch der Pharmazeutischen Praxis, Auflage Band 2 (A-K), 909 pp., (L-Z), 858 pp. Springer-Verlag, Berlin."
ATRACTYLENOLIDE-II,Antiinflammatory,100 mg/kg,"Blaschek, W., Hansel, R., Keller, K., Reichling, J., Rimpler, H., and Schneider, G. eds. 1998. Hager's Handbuch der Pharmazeutischen Praxis, Auflage Band 2 (A-K), 909 pp., (L-Z), 858 pp. Springer-Verlag, Berlin."
ATRACTYLENOLIDE-III,Analgesic,78 mg/kg orl mus,"Blaschek, W., Hansel, R., Keller, K., Reichling, J., Rimpler, H., and Schneider, G. eds. 1998. Hager's Handbuch der Pharmazeutischen Praxis, Auflage Band 2 (A-K), 909 pp., (L-Z), 858 pp. Springer-Verlag, Berlin."
ATRACTYLENOLIDE-III,Antibacterial,not available,"Blaschek, W., Hansel, R., Keller, K., Reichling, J., Rimpler, H., and Schneider, G. eds. 1998. Hager's Handbuch der Pharmazeutischen Praxis, Auflage Band 2 (A-K), 909 pp., (L-Z), 858 pp. Springer-Verlag, Berlin."
ATRACTYLENOLIDE-III,Anticholinergic,not available,"Duke, 1992 *"
ATRACTYLENOLIDE-III,Antiinflammatory,300 mg/kg,"Blaschek, W., Hansel, R., Keller, K., Reichling, J., Rimpler, H., and Schneider, G. eds. 1998. Hager's Handbuch der Pharmazeutischen Praxis, Auflage Band 2 (A-K), 909 pp., (L-Z), 858 pp. Springer-Verlag, Berlin."
ATRACTYLENOLIDE-III,Uterorelaxant,not available,"Duke, 1992 *"
ATRACTYLOCHROMENE,Antiinflammatory,not available,"Duke, 1992 *"
ATRACTYLOCHROMENE,Cyclooxygenase-Inhibitor,not available,"Duke, 1992 *"
ATRACTYLOCHROMENE,Lipoxygenase-Inhibitor,not available,"Duke, 1992 *"
ATRACTYLODIN,Antibacterial,not available,"Duke, 1992 *"
ATRACTYLODIN,Choleretic,not available,"Duke, 1992 *"
ATRACTYLODIN,Fungicide,not available,"Duke, 1992 *"
ATRACTYLODIN,Pesticide,not available,"Duke, 1992 *"
ATRACTYLODINOL,ACE-Inhibitor,IC50=50 uM,"Duke, 1992 *"
ATRACTYLON,5-Lipoxygenase-Inhibitor,not available,"Duke, 1992 *"
ATRACTYLON,Antiinflammatory,not available,"Duke, 1992 *"
ATRACTYLON,Antioxidant,not available,"Duke, 1992 *"
ATRACTYLON,Antitumor (Esophagus),not available,"Duke, 1992 *"
ATRACTYLON,ATPase-Inhibitor,not available,"Duke, 1992 *"
ATRACTYLON,Hepatoprotective,not available,"Advance in Chinese Medicinal Materials Research. 1985. Eds. H. M. Chang, H. W. Yeung, W. -W. Tso and A. Koo. World Scientific Publishing Co., Philadelphia Pa., page 210."
ATRACTYLON,Prooxidant,not available,"Duke, 1992 *"
ATRACTYLOSIDE,Antinatriuretic,not available,"Duke, 1992 *"
ATRACTYLOSIDE,Antitumor,IC70 3 mM,"Duke, 1992 *"
ATRACTYLOSIDE,Hypoglycemic,32 uM/kg,"Duke, 1992 *"
ATRACTYLOSIDE,Hypoxemic,32 uM/kg,"Duke, 1992 *"
ATRACTYLOSIDE,Nephrotoxic,IC50=50 mg/kg scu,"Duke, 1992 *"
ATRACTYLOSIDE,Respirodepressant,32 uM/kg,"Duke, 1992 *"
ATRACTYLOSIDE,Toxic,not available,"Duke, 1992 *"
ATRANORIN,Antibacterial,MIC=250 ug/ml,"Duke, 1992 *"
ATRANORIN,Antiseptic,MIC=250 ug/ml,"Duke, 1992 *"
ATRANORIN,Antitubercular,MIC=250 ug/ml,"Duke, 1992 *"
ATRANORIN,Mycobactericide,MIC=250 ug/ml,"Duke, 1992 *"
ATROPINE,Allergenic,not available,"Duke, 1992 *"
ATROPINE,Analgesic,not available,"Duke, 1992 *"
ATROPINE,Anesthetic,not available,Martindale's 29th
ATROPINE,Anhydrotic,not available,"Duke, 1992 *"
ATROPINE,Antianoxic,not available,Martindale's 29th
ATROPINE,Antiarrhythmic,"400-1,000 ug","Duke, 1992 *"
ATROPINE,Antiasthmatic,not available,Martindale's 28th
ATROPINE,Antibradycardic,300-600 ug/ims/man/day,Martindale's 28th
ATROPINE,Anticholinergic,0.55 mg/kg orl mus,"Borchard, R. E., Barnes, C. D., and Eltherton, L. G. 1991. Drug Dosage in Laboratory Animals: A Handbook. (3rd Ed.) The Telford Press, Inc., P. O. Box 287, Caldwell NJ 07006."
ATROPINE,Anticholinergic,10 mg/kg orl rat,"Borchard, R. E., Barnes, C. D., and Eltherton, L. G. 1991. Drug Dosage in Laboratory Animals: A Handbook. (3rd Ed.) The Telford Press, Inc., P. O. Box 287, Caldwell NJ 07006."
ATROPINE,Antidote (Anticholinesterase),2 mg/man/ims,Martindale's 29th
ATROPINE,Antidote (Black Widow),not available,Martindale's 29th
ATROPINE,Antidote (Lobelia),2 mg scu,"Pizzorno, J.E. and Murray, M.T. 1985. A Textbook of Natural Medicine. John Bastyr College Publications, Seattle, Washington (Looseleaf)."
ATROPINE,Antidote (Muscarine),not available,"Duke, 1992 *"
ATROPINE,Antidote (Mushroom),not available,Martindale's 30th
ATROPINE,Antidote (Organophosphorus),2-10 mg/ims/man,Martindale's 29th
ATROPINE,Antidote (Poison Gas),not available,"Duke, 1992 *"
ATROPINE,Antidote (Tetrodotoxin),not available,"Duke, 1992 *"
ATROPINE,Antiemetic,not available,Martindale's 29th
ATROPINE,Antiemphysemic,not available,Martindale's 29th
ATROPINE,Allergenic,not available,"Duke, 1992 *"
ATROPINE,Analgesic,not available,"Duke, 1992 *"
ATROPINE,Anesthetic,not available,Martindale's 29th
ATROPINE,Anhydrotic,not available,"Duke, 1992 *"
ATROPINE,Antianoxic,not available,Martindale's 29th
ATROPINE,Antiarrhythmic,"400-1,000 ug","Duke, 1992 *"
ATROPINE,Antiasthmatic,not available,Martindale's 28th
ATROPINE,Antibradycardic,300-600 ug/ims/man/day,Martindale's 28th
ATROPINE,Anticholinergic,0.55 mg/kg orl mus,"Borchard, R. E., Barnes, C. D., and Eltherton, L. G. 1991. Drug Dosage in Laboratory Animals: A Handbook. (3rd Ed.) The Telford Press, Inc., P. O. Box 287, Caldwell NJ 07006."
ATROPINE,Anticholinergic,10 mg/kg orl rat,"Borchard, R. E., Barnes, C. D., and Eltherton, L. G. 1991. Drug Dosage in Laboratory Animals: A Handbook. (3rd Ed.) The Telford Press, Inc., P. O. Box 287, Caldwell NJ 07006."
ATROPINE,Antidote (Anticholinesterase),2 mg/man/ims,Martindale's 29th
ATROPINE,Antidote (Black Widow),not available,Martindale's 29th
ATROPINE,Antidote (Lobelia),2 mg scu,"Pizzorno, J.E. and Murray, M.T. 1985. A Textbook of Natural Medicine. John Bastyr College Publications, Seattle, Washington (Looseleaf)."
ATROPINE,Antidote (Muscarine),not available,"Duke, 1992 *"
ATROPINE,Antidote (Mushroom),not available,Martindale's 30th
ATROPINE,Antidote (Organophosphorus),2-10 mg/ims/man,Martindale's 29th
ATROPINE,Antidote (Poison Gas),not available,"Duke, 1992 *"
ATROPINE,Antidote (Tetrodotoxin),not available,"Duke, 1992 *"
ATROPINE,Antiemetic,not available,Martindale's 29th
ATROPINE,Antiemphysemic,not available,Martindale's 29th
ATROPINE,Insecticide,not available,"Jacobson, M., Glossary of Plant-Derived Insect Deterrents, CRC Press, Inc., Boca Raton, FL, 213 p, 1990."
ATROPINE,Mydriatic,not available,Merck 11th Edition
ATROPINE,Myorelaxant,not available,"Pizzorno, J.E. and Murray, M.T. 1985. A Textbook of Natural Medicine. John Bastyr College Publications, Seattle, Washington (Looseleaf)."
ATROPINE,Neurotoxic,not available,"R.J. Hixtable (Huxtable, R.J. (as T. Max). 1992. This and That:The Essential Pharmacology of Herbs and Spices. Tips 13:15-20 Huxtable, R.J. 1992b. The Myth of Benficent Nature. The Risk of Herbal Preparations. Anns. Intern. Med. 117(2):165-6; Huxtable, R."
ATROPINE,Paralytic,not available,"Duke, 1992 *"
ATROPINE,Pesticide,not available,"Duke, 1992 *"
ATROPINE,Psychotomimetic,not available,"R.J. Hixtable (Huxtable, R.J. (as T. Max). 1992. This and That:The Essential Pharmacology of Herbs and Spices. Tips 13:15-20 Huxtable, R.J. 1992b. The Myth of Benficent Nature. The Risk of Herbal Preparations. Anns. Intern. Med. 117(2):165-6; Huxtable, R."
ATROPINE,Tachycardic,2 mg/orl/man,Martindale's 28th
ATROPINE,Transdermal,not available,"Duke, J. A. Writeups or information summaries on approximately 2,000 economic plants, USDA, ARS, Beltsville, MD 20705."
ATROPINE,Tumorigenic,not available,"Jacobson, M., Glossary of Plant-Derived Insect Deterrents, CRC Press, Inc., Boca Raton, FL, 213 p, 1990."
ATROPINE,Vasodilator,not available,Merck 11th Edition
AUBERGENONE,Pesticide,not available,"Duke, 1992 *"
AUBERGENONE,Phytoalexin,not available,"Nigg, H.N. and Seigler, D.S., eds. 1992. Phytochemical Resources for Medicine and Agriculture. Plenum Press, New York. 445 pp."
AUCUBIGENIN,Antibacterial,not available,"Wichtl, M. 1984. Teedrogen. Ein Handbuch fur Apotheker und Arzte. Wissenschaftliche Verlagsgesellscharft. mbH Stuttgart. 393 pp."
AUCUBIGENIN,Antiseptic,not available,"Duke, 1992 *"
AUCUBIGENIN,Antitumor,not available,"Duke, 1992 *"
AUCUBIGENIN,Cytotoxic,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
AUCUBIGENIN,Pesticide,not available,"Duke, 1992 *"
AUCUBIN,Antibacterial,not available,"Duke, 1992 *"
AUCUBIN,Antidote (Amanitin),200 mg/kg ipr mus,"Advance in Chinese Medicinal Materials Research. 1985. Eds. H. M. Chang, H. W. Yeung, W. -W. Tso and A. Koo. World Scientific Publishing Co., Philadelphia Pa., page 276."
AUCUBIN,Antiedemic,1/2 indomethacin,"Bruneton, J. 1999. Pharmacognosy, Phytochemistry, Medicinal Plants. 2nd Ed. Lavoisier Publishing, Paris. 1119 pp."
AUCUBIN,Antiinflammatory,1/2 indomethacin,"Duke, 1992 *"
AUCUBIN,Antiinflammatory,IC50=12-72 uM,"Duke, 1992 *"
AUCUBIN,Antileukemic,IC50=25-56 ug/ml,"Chiang, L. C., Chiang, W., Chang, M. Y., Ng, L. T., Lin, C. C. 2003. Antileukemic activity of selected natural products in Taiwan. Am J Chin Med, 31(1):37-46."
AUCUBIN,Antioxidant,not available,"Duke, 1992 *"
AUCUBIN,Antiprolactin,not available,"Duke, 1992 *"
AUCUBIN,Antistaphylococcic,not available,"Duke, 1992 *"
AUCUBIN,Candidicide,not available,"Duke, 1992 *"
AUCUBIN,Cathartic,ED50=390 mg/kg,"Wagner & Wolff, eds. 1977. New Natural Products (RS164. I56. 176)"
AUCUBIN,Collagenic,not available,"Duke, 1992 *"
AUCUBIN,Diuretic,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
AUCUBIN,Hepatoprotective,not available,"Duke, 1992 *"
AUCUBIN,Lactagogue,not available,"Newall, C. A., Anderson, L. A. and Phillipson, J. D. 1996. Herbal Medicine - A Guide for Health-care Professionals. The Pharmaceutical Press, London. 296pp."
AUCUBIN,Laxative,not available,"Williamson, E. M. and Evans, F. J., Potter's New Cyclopaedia of Botanical Drugs and Preparations, Revised Ed., Saffron Walden, the C. W. Daniel Co., Ltd., Essex UK, 362 pp, 1988, reprint 1989."
AUCUBIN,Paralytic,not available,"Wichtl, M. 1984. Teedrogen. Ein Handbuch fur Apotheker und Arzte. Wissenschaftliche Verlagsgesellscharft. mbH Stuttgart. 393 pp."
AUCUBIN,Pesticide,not available,"Duke, 1992 *"
AUCUBIN,RNA-Inhibitor,not available,"Advance in Chinese Medicinal Materials Research. 1985. Eds. H. M. Chang, H. W. Yeung, W. -W. Tso and A. Koo. World Scientific Publishing Co., Philadelphia Pa., page 275."
AUCUBIN,Uricosuric,not available,"Williamson, E. M. and Evans, F. J., Potter's New Cyclopaedia of Botanical Drugs and Preparations, Revised Ed., Saffron Walden, the C. W. Daniel Co., Ltd., Essex UK, 362 pp, 1988, reprint 1989."
AUCUPARIN,Fungicide,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
AUCUPARIN,Pesticide,not available,"Duke, 1992 *"
AUGUSTINE,Antimalarial,IC50=0.14-0.18 ug/ml,"Rukunga, G. and Simons, A. J. 2006. The Potential of Plants as a Source of Antimalarial Agents - A Review. Africa Herbal Antimalaria Meeting. PlantaPhile Publications, Berlin. 72 pp."
AUGUSTINE,Antiplasmodial,IC50=0.14-0.18 ug/ml,"Rukunga, G. and Simons, A. J. 2006. The Potential of Plants as a Source of Antimalarial Agents - A Review. Africa Herbal Antimalaria Meeting. PlantaPhile Publications, Berlin. 72 pp."
AURANTIIN,Antistomatitic,not available,"Economic & Medicinal Plant Research, 5: 197."
AURANTIIN,Antiviral,not available,"Economic & Medicinal Plant Research, 5: 197."
AURANTIIN,Pesticide,not available,"Duke, 1992 *"
AURANTIOBTUSIN,Aldose-Reductase-Inhibitor,IC50=13.6 uM,"Duke, 1992 *"
AURANTIOBTUSIN,Antiaggregant,not available,"Duke, 1992 *"
AURANTIOBTUSIN,Estrogenic,not available,"Duke, 1992 *"
AURANTIOBTUSIN-BETA-D-GLUCOSIDE,Antiaggregant,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
AURAPTEN,Antiaggregant,EC100=50 uM,"Duke, 1992 *"
AURAPTEN,Antispasmodic,not available,"Duke, 1992 *"
AURAPTENAL,Antiseptic,25 ppm,"Duke, 1992 *"
AURAPTENAL,Pesticide,not available,"Duke, 1992 *"
AURAPTENE,Antiperoxidant,not available,"Duke, 1992 *"
AURAPTENE,Antisuperoxidogenic,not available,"Duke, 1992 *"
AURAPTENE,Antitumor (Colon crypts),(rat),"Duke, 1992 *"
AURAPTENE,Antitumor (Mouth),(rat),"Duke, 1992 *"
AURAPTENE,Antitumor (Skin),(mouse),"Duke, 1992 *"
AURAPTENE,Chemopreventive-Inhibitor,not available,"Duke, 1992 *"
AURAPTENE,Quinone-Reductase-Inducer,100 ppm,"Duke, 1992 *"
AURAPTENE,Quinone-Reductase-Inducer,400 mg/kg igs rat,"Tanaka,T. et al.1998.Citrus Auraptene Exerts Dose-Dependent Chemopreventive Activity in Rat Large Bowel Tumorigenesis:The Inhibition Correlates with Suppression of Cell Proliferation & Lipid Peroxidation & with Induction of Phase II-. Cancer Res.58:2550."
AURASPERONE-D,CNS-Depressant,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
AUREUSIDIN,Iodothyronine-Deiodinase-Inhibitor,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
AUREUSIDIN,Pigment,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
AURICULARINE,Anticholera?,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
AURICULARINE,Anticolitic?,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
AURICULARINE,Antidysenteric?,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
AURICULARINE,Antienteritic?,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
AURICULINE,Hepatotoxic,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
AURICULOSIDE,Antianxiety,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
AURICULOSIDE,Antistress,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
AURICULOSIDE,CNS-Depressant,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
AUSTRALINE,Glucosidase-Inhibitor,not available,"Duke, 1992 *"
AUSTROBAILIGNAN-1,Antitumor,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
AUSTROBAILIGNAN-1,Cytotoxic,ED50=0.027 ug/ml,"Duke, 1992 *"
AUTUMNOLIDE,Antitumor,not available,"Wagner & Wolff, eds. 1977. New Natural Products (RS164. I56. 176)"
AUTUMNOLIDE,Cytotoxic,ED50=3,"Duke, 1992 *"
AVADHARIDINE,Curare,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
AVAROL,Prostaglandin-Synthesis-Inhibitor,3 ug/ml,"Schroder,H.C., Begin,E., Klocking,R., Matthes,E., Sarma,A.S., Gasic,M., Muller,W.E.G.1991.Avarol Restores the Altered Prostaglandin and Leukotriene Metabolism in Monocytes Infected with Human Immunodeficiency Virus Type I. Virus Research, 21(3):213-223."
AVENACIN,Fungicide,not available,"Duke, 1992 *"
AVENACIN,Hemolytic,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
AVENACIN,Pesticide,not available,"Duke, 1992 *"
AVENACINE-A,Antiseptic,not available,Wealth of India.
AVENACINE-A,Fungistat,not available,Wealth of India.
AVENACINE-A,Hemolytic,not available,Wealth of India.
AVENACINE-A,Pesticide,not available,"Duke, 1992 *"
AVENACINE-B,Antiseptic,not available,Wealth of India.
AVENACINE-B,Pesticide,not available,"Duke, 1992 *"
AVENACOSIDE-B2,Fungicide,not available,"Duke, 1992 *"
AVENACOSIDE-B2,Hemolytic,not available,"Duke, 1992 *"
AVENACOSIDES,Fungicide,not available,"Wichtl, M. 1984. Teedrogen. Ein Handbuch fur Apotheker und Arzte. Wissenschaftliche Verlagsgesellscharft. mbH Stuttgart. 393 pp."
AVENACOSIDES,Pesticide,not available,"Duke, 1992 *"
AVENALUMIN,Fungicide,not available,"Duke, 1992 *"
AVENALUMIN,Pesticide,not available,"Duke, 1992 *"
AVENALUMIN,Phytoalexin,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
AVENANTHRAMIDE-A,Antiallergic,not available,"Duke, 1992 *"
AVENANTHRAMIDE-A,Antiasthmatic,not available,"Duke, 1992 *"
AVENANTHRAMIDE-A,Antihistaminic,not available,"Duke, 1992 *"
AVENANTHRAMIDE-B,Antiallergic,not available,"Duke, 1992 *"
AVENANTHRAMIDE-B,Antiasthmatic,not available,"Duke, 1992 *"
AVENANTHRAMIDE-B,Antihistaminic,not available,"Duke, 1992 *"
AVENANTHRAMIDE-C,Antiallergic,not available,"Duke, 1992 *"
AVENANTHRAMIDE-C,Antiasthmatic,not available,"Duke, 1992 *"
AVENANTHRAMIDE-C,Antihistaminic,not available,"Duke, 1992 *"
AVENANTHRAMIDE-D,Antiallergic,not available,"Duke, 1992 *"
AVENANTHRAMIDE-D,Antiasthmatic,not available,"Duke, 1992 *"
AVENANTHRAMIDE-D,Antihistaminic,not available,"Duke, 1992 *"
